eval_qs,eval mean 100 episode reward,eval_ep_rewmean,eval_discount_q,eval_qs_difference,total timesteps,eval_abs_qs_difference,eval_time_elapsed,eval_eplenmean,discount_q,mean 100 episode reward,train_time,n_updates,update_time,qs_difference,qs_abs_difference,time_elapsed,fps,eplenmean,env_time,episodes,current_lr,ep_rewmean,qs_mean,act_time,qfs_loss,q_grad_norm
-1.3183887,8.7,8.748868636363637,8.342477316641954,-4.0531281387506235,1,4.0531282,0,17.90909090909091,,,,,,,,,,,,,,,,,,
,,,,,48354,,,,0.9998385165416697,257.5,519,46800,949,155.60150470644507,155.60150470644507,1545,31,120.91,46,1344,0.0003,257.46569934999997,195.32246,13,49.784134,2763.4854
,,,,,48794,,,,1.3633799000313156,259.7,528,47600,962,153.90964988179653,153.90964988179653,1568,31,121.4,46,1348,0.0003,259.70958082,194.31627,14,63.70321,3166.5913
,,,,,49143,,,,10.35484817033426,256.7,537,48400,976,123.23499976787492,123.23499976787492,1591,30,120.35,46,1352,0.0003,256.70805168000004,193.23907,14,54.95304,2684.8313
,,,,,49731,,,,1.4337161513432566,262.9,550,49600,997,39.96979869396536,40.564264282440114,1626,30,122.59,47,1356,0.0003,262.91767419,145.41293,14,59.857544,3251.5303
151.11505,186.4,675.1251062727273,203.16909863657412,-36.73197770219321,50001,38.5643,2,252.45454545454547,,,,,,,,,,,,,,,,,,
,,,,,50356,,,,2.036130389534577,266.3,562,50800,1018,1.5458057418585687,5.759128948534201,1664,30,123.82,47,1360,0.0003,266.26667426,151.95772,14,59.55238,2776.6604
,,,,,51086,,,,0.3180562779984626,274.5,577,52200,1043,33.1935142586975,33.1935142586975,1704,29,126.69,48,1364,0.0003,274.51852491,141.12419,15,54.271698,2628.285
,,,,,51293,,,,5.58684220563728,269.8,582,52600,1050,176.82723797820682,176.82723797820682,1716,29,124.49,48,1368,0.0003,269.80733752000003,198.53201,15,70.45746,3019.0784
,,,,,51930,,,,1.2525749431995759,273.1,596,54000,1076,30.02315503832323,30.02315503832323,1757,29,125.87,49,1372,0.0003,273.09756968,153.73018,15,59.22313,2848.6982
,,,,,52807,,,,0.08897973027115093,290.6,615,55800,1108,23.277278374298117,23.302469631277734,1810,29,132.38,50,1376,0.0003,290.63484829000004,146.50397,16,69.801414,2954.4333
,,,,,53344,,,,3.1003364177744532,297.4,626,56800,1126,9.51079568349525,17.09357909816065,1840,28,134.63,50,1380,0.0003,297.39423929000003,149.1253,16,65.51651,2891.2822
,,,,,53950,,,,0.7614030619293334,299.0,639,58000,1148,77.2365610225147,77.28780028509722,1876,28,135.86,51,1384,0.0003,298.96715984,162.97331,16,55.98516,2785.6382
,,,,,54562,,,,2.855890797604319,301.7,652,59200,1170,9.572193694501063,11.506958245232287,1912,28,136.78,51,1388,0.0003,301.71204486000005,175.90317,16,60.88126,3040.098
,,,,,55211,,,,1.0896593540379018,303.0,667,60600,1197,54.696873913158875,54.72959529756907,1954,28,138.03,52,1392,0.0003,302.97724479,176.02971,17,73.4318,3456.425
,,,,,56022,,,,0.8577750920818411,308.1,683,62200,1227,-14.315103786002828,21.375981294088504,2002,27,140.79,52,1396,0.0003,308.14467399,189.5902,17,80.81483,3728.001
,,,,,56663,,,,0.1854835949248657,305.4,697,63400,1250,185.9062995451912,185.9062995451912,2039,27,141.19,53,1400,0.0003,305.41324354,212.0042,17,69.78984,3379.702
,,,,,57477,,,,0.6448619829044085,302.9,713,65000,1280,126.9800624160308,126.9800624160308,2088,27,143.76,54,1404,0.0003,302.92138345,211.25182,18,72.46506,3709.434
,,,,,57869,,,,1.3468917799398046,301.8,722,65800,1296,200.73156729512968,200.73156729512968,2113,27,145.15,54,1408,0.0003,301.77971863000005,230.5762,18,79.6244,3742.84
,,,,,58341,,,,2.665909928841412,296.2,733,66800,1315,167.14435095204792,167.14435095204792,2143,27,144.03,54,1412,0.0003,296.24291442000003,227.54736,18,78.39833,3452.4312
,,,,,58852,,,,2.192101998466354,295.7,743,67800,1335,153.5127401326997,153.5127401326997,2175,27,144.98,55,1416,0.0003,295.70169567,228.9925,19,71.3475,3412.8918
,,,,,59036,,,,5.298374038898848,293.9,748,68200,1342,209.36347991547382,209.36347991547382,2187,26,144.27,55,1420,0.0003,293.85827886000004,226.027,19,77.57858,3405.6475
,,,,,59126,,,,16.212845709082767,286.3,750,68400,1346,207.83435381525095,207.83435381525095,2193,26,140.53,55,1424,0.0003,286.29274912,227.32578,19,88.78209,3504.7314
,,,,,59298,,,,50.727197350733945,281.9,752,68600,1350,159.0072074451898,159.0072074451898,2200,26,138.4,55,1428,0.0003,281.89547570999997,221.78706,19,105.01141,3870.0918
200.52167,235.7,508.6876854545455,197.36085694168221,34.57325291472869,60001,36.308666,2,188.0909090909091,,,,,,,,,,,,,,,,,,
,,,,,60007,,,,0.36694638202190377,274.3,769,70200,1382,128.71862122236715,129.05944584116193,2252,26,135.23,56,1432,0.0003,274.30255974000005,214.66154,19,77.95603,3582.5242
,,,,,60718,,,,2.9849645424293074,278.3,785,71600,1410,-9.340422067515325,16.662646372618408,2296,26,134.44,56,1436,0.0003,278.26002877999997,212.26286,19,93.081474,4105.5254
,,,,,61335,,,,1.4318291287769058,281.0,798,72800,1434,36.31124056819586,36.41831983464843,2334,26,134.52,57,1440,0.0003,280.99525635000003,177.87608,20,84.71973,4037.876
,,,,,61968,,,,3.526633042308546,288.5,811,74000,1459,14.51375720812065,16.280235421221715,2373,26,136.14,58,1444,0.0003,288.50111156,212.88708,20,92.818115,4247.4404
