eval_qs,eval_ep_rewmean,total timesteps,eval_eplenmean,eval_abs_qs_difference,eval mean 100 episode reward,eval_qs_difference,eval_time_elapsed,eval_discount_q,time_elapsed,qs_mean,ep_rewmean,env_time,episodes,current_lr,fps,act_time,eplenmean,qs_difference,qs_abs_difference,n_updates,train_time,update_time,discount_q,mean 100 episode reward,qfs_loss,q_grad_norm
,,248000,,,,,,,15718,12.147728,142.99461654,374,248,0.0003,15,203,1000.0,1.5080432594639357,1.519897935081467,446200,5662,8790,2.5295132417105024e-12,143.0,0.0016139867,0.39986187
12.106867,143.50320327272723,250001,1000.0,1.4010767,143.9,1.0220182415841044,24,32.98457262342212,,,,,,,,,,,,,,,,,,
,,252000,,,,,,,16038,12.24151,143.66655894000002,380,252,0.0003,15,206,1000.0,0.9406100349382478,0.9727841513630232,454200,5772,8963,2.6019733713883756e-12,143.7,0.0017714392,0.5024878
,,256000,,,,,,,16332,12.150082,143.94641894000003,386,256,0.0003,15,210,1000.0,1.0967649866668256,1.114884715251351,462200,5883,9136,2.8232921033469603e-12,143.9,0.0016636398,0.42589724
,,260000,,,,,,,16627,12.249714,144.23542362,392,260,0.0003,15,214,1000.0,1.102258929526117,1.1205650140580756,470200,5993,9310,2.644899710835752e-12,144.2,0.0015884724,0.43989918
12.099018,146.4475620909091,260001,1000.0,1.1618792,144.2,0.749425258609583,24,33.28447847193945,,,,,,,,,,,,,,,,,,
,,264000,,,,,,,16946,12.156846,143.95680701,399,264,0.0003,15,218,1000.0,1.559682565853306,1.5828065464350736,478200,6101,9485,2.58781234458304e-12,144.0,0.0016734742,0.46068773
,,268000,,,,,,,17243,12.289981,143.73117857999998,405,268,0.0003,15,221,1000.0,1.1088653048468309,1.1212670801492,486200,6202,9670,2.6797836762177834e-12,143.7,0.0016386807,0.4802884
12.060487,146.10882854545454,270001,1000.0,1.1797696,144.6,0.779701123116385,25,33.63733123284106,,,,,,,,,,,,,,,,,,
,,272000,,,,,,,17566,12.205182,143.52164387,411,272,0.0003,15,225,1000.0,1.102579464246518,1.1055350196942988,494200,6303,9854,2.6423639573110107e-12,143.5,0.0011650022,0.38138607
,,276000,,,,,,,17860,12.242241,143.34924561,417,276,0.0003,15,229,1000.0,1.241506721889852,1.2439194835206493,502200,6402,10039,2.7441487582141663e-12,143.3,0.0013167827,0.38154352
,,280000,,,,,,,18153,12.131183,143.15427845000005,423,280,0.0003,15,232,1000.0,1.0046623209303798,1.018000341595163,510200,6501,10221,2.723262793046367e-12,143.2,0.0012994984,0.36032525
12.094555,145.2383419090909,280001,1000.0,1.2988223,144.6,0.9096316779945627,25,33.72636998858898,,,,,,,,,,,,,,,,,,
,,284000,,,,,,,18473,12.179071,143.04559423000003,430,284,0.0003,15,236,1000.0,0.9618402478338802,0.9791984049196298,518200,6599,10407,2.703405909159297e-12,143.0,0.0014496412,0.44376346
,,288000,,,,,,,18767,12.211467,143.08298706,436,288,0.0003,15,239,1000.0,1.108874405783142,1.1113465751256313,526200,6697,10591,2.579808986200437e-12,143.1,0.0015994133,0.42817366
12.020873,144.9161589090909,290001,1000.0,1.2365761,144.9,0.8223828892934651,24,33.26389853564252,,,,,,,,,,,,,,,,,,
,,292000,,,,,,,19088,12.2339945,143.08993697000002,442,292,0.0003,15,243,1000.0,1.0384145620101877,1.0411285714162097,534200,6799,10775,2.587019043650467e-12,143.1,0.0015379548,0.40419388
,,296000,,,,,,,19380,12.076154,143.00005266999997,448,296,0.0003,15,247,1000.0,0.9798210977963895,0.9830382729410093,542200,6897,10958,2.570081695025823e-12,143.0,0.0011005193,0.33504856
,,300000,,,,,,,19673,12.056885,142.95965686,454,300,0.0003,15,250,1000.0,1.0033062229932823,1.005208594197503,550200,6995,11142,2.6676947904446966e-12,143.0,0.0011048891,0.36795184
12.159316,146.91702063636365,300001,1000.0,1.1980307,145.4,0.7939336387042232,24,33.5991935652874,,,,,,,,,,,,,,,,,,
,,304000,,,,,,,19983,12.109178,142.84376576,460,304,0.0003,15,254,1000.0,1.2844659554097155,1.2855435129512864,558200,7089,11323,2.463576035616306e-12,142.8,0.0010944216,0.28581816
,,308000,,,,,,,20280,11.946717,142.74328645000003,467,308,0.0003,15,258,1000.0,1.490330687911969,1.4913783778201866,566200,7189,11508,2.6038209801291724e-12,142.7,0.0012389132,0.38406917
11.878385,143.4201799090909,310001,1000.0,1.1648985,145.3,0.8301978977157588,25,33.27103285066891,,,,,,,,,,,,,,,,,,
,,312000,,,,,,,20601,11.948705,142.61205650000002,473,312,0.0003,15,261,1000.0,1.3771946980864438,1.3775435430603538,574200,7290,11692,2.5776868775853044e-12,142.6,0.0012439414,0.3226448
,,316000,,,,,,,20902,12.347043,142.75359111,479,316,0.0003,15,265,1000.0,0.9298778190826877,0.952932325680688,582200,7392,11879,2.4825805211294894e-12,142.8,0.0011506159,0.35488155
,,320000,,,,,,,21201,12.225947,142.79853149000002,485,320,0.0003,15,269,1000.0,1.422497269839731,1.4246129919072832,590200,7494,12065,2.5937266130858157e-12,142.8,0.0011992016,0.35596073
12.227069,147.2094798181818,320001,1000.0,1.1804832,145.4,0.7744693208117749,25,33.01361588874081,,,,,,,,,,,,,,,,,,
,,324000,,,,,,,21517,12.204594,142.89876237000001,491,324,0.0003,15,272,1000.0,0.976673314309106,1.0061699007233058,598200,7590,12248,2.5928435100698456e-12,142.9,0.0011999989,0.32457185
,,328000,,,,,,,21815,12.147989,142.78429844000004,497,328,0.0003,15,276,1000.0,1.4874506420067042,1.4954571605477915,606200,7694,12433,2.701861441250512e-12,142.8,0.0012298193,0.38897297
11.808498,142.30125900000002,330001,1000.0,1.1413903,145.2,0.8775428431695222,25,33.32494702313284,,,,,,,,,,,,,,,,,,
,,332000,,,,,,,22142,12.034806,142.74093585,503,332,0.0003,14,280,1000.0,1.039647355361511,1.0412793735250978,614200,7797,12620,2.7070210350846073e-12,142.7,0.0012095685,0.3938817
,,336000,,,,,,,22445,12.27017,142.72641506000002,509,336,0.0003,14,283,1000.0,1.051897346268888,1.056226482710289,622200,7899,12810,2.543948533887959e-12,142.7,0.0010040592,0.31684816
,,340000,,,,,,,22747,12.086815,142.63240818000003,515,340,0.0003,14,287,1000.0,1.0427495492632437,1.0865102272419147,630200,8002,12998,2.6901660026164112e-12,142.6,0.0009339559,0.2826848
12.17961,143.04643772727272,340001,1000.0,1.5567302,145.0,1.1352494926809056,25,32.932155002128845,,,,,,,,,,,,,,,,,,
,,344000,,,,,,,23069,12.26114,142.79981094000001,522,344,0.0003,14,290,1000.0,1.0071840109654115,1.0180874083515614,638200,8103,13183,2.6638041207338148e-12,142.8,0.0010704225,0.31276053
,,348000,,,,,,,23368,12.405557,142.84521046,528,348,0.0003,14,294,1000.0,1.0964206728248551,1.0970648123405522,646200,8206,13367,2.6560260300957045e-12,142.8,0.0012018658,0.3195314
12.213046,146.1187939090909,350001,1000.0,1.2900783,145.0,0.8841237846758726,24,33.16118370751503,,,,,,,,,,,,,,,,,,
,,352000,,,,,,,23688,12.401288,142.86190604,534,352,0.0003,14,297,1000.0,0.964353207666719,1.0013801524072687,654200,8306,13552,2.727755001642642e-12,142.9,0.0010177516,0.3355502
,,356000,,,,,,,23983,12.332234,142.84617074,540,356,0.0003,14,301,1000.0,1.0950617793505297,1.0968399272005267,662200,8404,13738,2.7273508693865506e-12,142.8,0.0011037659,0.30377626
,,360000,,,,,,,24278,12.364159,142.82158947,546,360,0.0003,14,305,1000.0,1.33285413894103,1.3383556456794172,670200,8504,13922,2.693543031870896e-12,142.8,0.001264526,0.39414874
12.255523,148.48330618181816,360001,1000.0,1.1821896,145.3,0.6950924610079388,24,33.2111146400706,,,,,,,,,,,,,,,,,,
,,364000,,,,,,,24598,12.352159,143.02144085,552,364,0.0003,14,308,1000.0,1.099859872585171,1.1044800615617782,678200,8603,14106,2.5840716152159902e-12,143.0,0.00095580384,0.3036899
,,368000,,,,,,,24892,12.234539,143.17698936,558,368,0.0003,14,312,1000.0,1.0951233144474402,1.1185251307698343,686200,8703,14290,2.8043768252775324e-12,143.2,0.0013355731,0.38506246
12.308033,146.655366,370001,1000.0,1.2147199,145.4,0.8456420508644347,25,32.35501375961791,,,,,,,,,,,,,,,,,,
,,372000,,,,,,,25210,12.262541,143.20801347999998,564,372,0.0003,14,316,1000.0,1.1000684708739472,1.1071206652570715,694200,8802,14473,2.6662287185951285e-12,143.2,0.0011364075,0.35632813
,,376000,,,,,,,25504,12.310577,143.23699179000002,570,376,0.0003,14,319,1000.0,1.4406676165642944,1.4407174990403928,702200,8901,14658,2.701380502991965e-12,143.2,0.0008873083,0.32153907
,,380000,,,,,,,25798,12.445551,143.23312873999998,576,380,0.0003,14,323,1000.0,1.2141089221093129,1.2268745818548672,710200,8999,14842,2.6386702958659685e-12,143.2,0.0011517599,0.3034693
12.157004,146.9195463636364,380001,1000.0,1.2328067,145.7,0.8008490290637481,24,33.69494783562263,,,,,,,,,,,,,,,,,,
,,384000,,,,,,,26116,12.144772,143.16506310000003,582,384,0.0003,14,326,1000.0,1.0833662221451663,1.084418337906428,718200,9098,15026,2.63006081477202e-12,143.2,0.001003251,0.332365
,,388000,,,,,,,26409,12.234467,143.18510852,588,388,0.0003,14,330,1000.0,1.3741897335918931,1.3799916845690086,726200,9196,15210,2.5930224123939177e-12,143.2,0.0009594786,0.3022825
12.16395,146.17562,390001,1000.0,1.3081841,145.6,0.8954556732007376,24,33.828964142554376,,,,,,,,,,,,,,,,,,
,,392000,,,,,,,26728,12.228625,143.17141007,594,392,0.0003,14,333,1000.0,1.0989760267695459,1.0989760267695459,734200,9295,15394,2.563667504723733e-12,143.2,0.0009913855,0.2930881
,,396000,,,,,,,27021,12.382647,143.34728326,601,396,0.0003,14,337,1000.0,1.0153279187098583,1.022303306987555,742200,9392,15578,2.583781289171651e-12,143.3,0.0009417431,0.29867122
,,400000,,,,,,,27315,12.224835,143.44239546,607,400,0.0003,14,341,1000.0,1.0500439720832864,1.0514288881045621,750200,9491,15763,2.7586534455156707e-12,143.4,0.0010280329,0.3179889
12.241379,146.17974218181817,400001,1000.0,1.4446334,145.8,0.9870559789692784,25,33.9762698424112,,,,,,,,,,,,,,,,,,
