eval mean 100 episode reward,eval_time_elapsed,eval_eplenmean,total timesteps,eval_qs,eval_ep_rewmean,eval_qs_difference,eval_discount_q,eval_abs_qs_difference,qs_mean,ep_rewmean,discount_q,update_time,eplenmean,n_updates,act_time,time_elapsed,env_time,mean 100 episode reward,qs_abs_difference,qs_difference,episodes,current_lr,fps,train_time,qfs_loss,q_grad_norm
0.3,1,64.63636363636364,1,-1.523069,0.04387618181818199,1.570135485707157,2.5919022224043,5.5917187,,,,,,,,,,,,,,,,,,
,,,219910,,,,,,335.19843,914.64754618,0.0798558058917168,8907,249.98,390000,99,13570,203,914.6,276.52948510642375,276.52948510642375,2120,0.0003,16,4248,253.7434,6039.3706
765.0,2,225.72727272727272,220001,418.9364,816.4240685454545,232.71810671573186,180.2906639842893,234.48761,,,,,,,,,,,,,,,,,,
,,,220487,,,,,,393.15308,903.99461816,0.8867986229446123,8930,245.29,391000,99,13608,204,904.0,295.48376113211873,295.48376113211873,2124,0.0003,16,4259,246.63226,6034.9204
,,,221412,,,,,,400.82202,902.30477311,0.07770557156705228,8977,244.12,393000,100,13677,204,902.3,261.4824796758976,261.4824796758976,2128,0.0003,16,4280,247.9272,5453.043
,,,222049,,,,,,366.76587,870.95383343,0.9217215486181907,9005,237.81,394200,100,13718,205,871.0,257.06599145051365,257.06599145051365,2132,0.0003,16,4292,243.84334,5308.23
,,,222320,,,,,,384.27185,853.6301221400004,14.392158888325262,9019,231.73,394800,100,13739,205,853.6,306.26666667636385,306.26666667636385,2136,0.0003,16,4298,257.50534,5314.985
,,,223243,,,,,,459.49237,855.80845075,0.8976487852075306,9061,232.15,396600,101,13800,206,855.8,156.14209201447528,149.02286152296554,2140,0.0003,16,4316,267.68704,6196.6255
,,,223716,,,,,,380.23846,844.19853503,1.6462680020173022,9085,228.64,397600,101,13835,206,844.2,305.3343000963098,305.3343000963098,2144,0.0003,16,4326,300.98767,6383.846
,,,223992,,,,,,372.4563,822.7965983300002,12.612528592239215,9094,222.93,398000,101,13849,206,822.8,300.6940485248472,300.6940485248472,2148,0.0003,16,4331,310.2476,6874.427
,,,225263,,,,,,450.16928,817.5580588600002,0.005065393555254704,9154,222.01,400600,102,13939,208,817.6,219.75970301727955,219.75970301727955,2152,0.0003,16,4359,297.5792,6837.1675
,,,225889,,,,,,446.7757,813.7677453900001,3.971180038462026,9180,221.2,401800,102,13982,208,813.8,217.96667468193888,217.10277403668482,2156,0.0003,16,4374,255.565,5800.213
,,,226810,,,,,,356.09125,823.3138655700001,0.02164876302910912,9225,222.08,403800,102,14051,209,823.3,290.70604495378797,290.70604495378797,2160,0.0003,16,4398,277.9512,6065.517
,,,227704,,,,,,453.70206,832.7237397099999,0.12684350423177254,9268,224.03,405600,103,14114,210,832.7,265.96064417705907,265.96064417705907,2164,0.0003,16,4416,294.24094,6419.266
,,,229238,,,,,,402.47488,867.0277546700001,3.5246358301817294e-05,9339,228.89,408600,103,14218,211,867.0,353.48084778062525,353.48084778062525,2168,0.0003,16,4447,249.10512,5643.9175
