eval_time_elapsed,eval_qs,eval_qs_difference,eval_ep_rewmean,eval_abs_qs_difference,eval_discount_q,total timesteps,eval_eplenmean,eval mean 100 episode reward,qs_abs_difference,eplenmean,fps,n_updates,episodes,current_lr,qs_difference,train_time,act_time,env_time,qs_mean,mean 100 episode reward,discount_q,time_elapsed,ep_rewmean,update_time,q_grad_norm,qfs_loss
,,,,,,320000,,,1.0481410275081189,1000.0,16,590200,320,0.0003,1.0453087466004032,7717,256,471,12.612536,146.9,2.6174674239414765e-12,19432,146.89736015,10168,0.37806964,0.0011671932
22,12.553744,1.0494981756021333,148.10030172727275,1.4666524,33.39176502847435,320001,1000.0,148.5,,,,,,,,,,,,,,,,,,
,,,,,,324000,,,1.0153129012058495,1000.0,16,598200,324,0.0003,1.0101325940792405,7821,260,477,12.767854,146.8,2.5785290866486084e-12,19721,146.79888315000002,10319,0.35649163,0.0011286079
,,,,,,328000,,,1.4303766189208063,1000.0,16,606200,328,0.0003,1.429193146409619,7926,263,482,12.629304,146.7,2.5695297463964366e-12,19987,146.72845764000002,10469,0.38957173,0.0011305228
22,12.584164,1.1393606146946398,147.79394236363638,1.5460938,33.682744596130554,330001,1000.0,148.4,,,,,,,,,,,,,,,,,,
,,,,,,332000,,,1.1329130376497547,1000.0,16,614200,332,0.0003,1.1246419083988453,8031,267,488,12.545289,146.7,2.7734817189097262e-12,20275,146.73627895,10620,0.37768224,0.0010859715
,,,,,,336000,,,1.1407471225500811,1000.0,16,622200,336,0.0003,1.1405590593713715,8135,270,494,12.534544,146.8,2.7025950857284996e-12,20541,146.75204739,10771,0.26455054,0.0007348887
,,,,,,340000,,,1.3844853354500057,1000.0,16,630200,340,0.0003,1.3844525327052095,8240,274,500,12.642196,146.9,2.6214095555744073e-12,20808,146.91912307,10922,0.39964503,0.0012900112
22,12.509609,0.7700928621447759,150.50398754545452,1.2552197,33.44326523916839,340001,1000.0,148.6,,,,,,,,,,,,,,,,,,
,,,,,,344000,,,1.503894322561569,1000.0,16,638200,344,0.0003,1.4946375069185927,8345,277,506,12.504779,146.8,2.739283943771266e-12,21096,146.82112077,11073,0.34373656,0.0010082396
,,,,,,348000,,,1.031457077736034,1000.0,16,646200,348,0.0003,1.0275313992935249,8449,280,512,12.628182,146.8,2.64863108519297e-12,21363,146.81810807,11225,0.32823193,0.00089924084
22,12.485424,0.7979009700915007,150.1784324545455,1.2043236,33.63959844213708,350001,1000.0,149.0,,,,,,,,,,,,,,,,,,
