eval_time_elapsed,eval mean 100 episode reward,eval_discount_q,eval_qs,eval_eplenmean,eval_abs_qs_difference,eval_ep_rewmean,eval_qs_difference,total timesteps,fps,ep_rewmean,mean 100 episode reward,eplenmean,qs_difference,current_lr,time_elapsed,qs_abs_difference,update_time,discount_q,episodes,env_time,act_time,qs_mean,n_updates,train_time,qfs_loss,q_grad_norm
1,155.9,104.50581393674223,-1.4063522,80.9090909090909,66.833015,156.41753018181817,-66.83300745162934,1,,,,,,,,,,,,,,,,,,
,,,,,,,,10128,181,18.78523981,18.8,23.07,-7.814986867595018,0.0003,55,7.814986867595018,41,8.488239392583566,460,8,0,0.51914597,0,0,,
,,,,,,,,10217,179,18.73157331,18.7,22.94,-4.738241602844137,0.0003,56,4.738241602844137,42,5.249043714016761,464,8,0,0.4389831,0,0,,
,,,,,,,,10306,178,17.84519403,17.8,22.42,-9.68443109650249,0.0003,57,9.68443109650249,43,9.59673294946001,468,8,0,0.29637295,0,0,,
,,,,,,,,10375,179,17.94725485,17.9,22.57,-5.2244183787444225,0.0003,57,5.2244183787444225,43,5.730045308534484,472,8,0,0.18971936,0,0,,
,,,,,,,,10463,178,17.17084235,17.2,22.27,-11.904111863694338,0.0003,58,11.904111863694338,43,10.2809928131073,476,9,0,0.15184249,0,0,,
,,,,,,,,10541,177,17.163176359999998,17.2,22.19,-7.504844608282189,0.0003,59,7.504844608282189,44,8.722225993452074,480,9,0,0.46146283,0,0,,
,,,,,,,,10626,175,16.73754406,16.7,21.98,-6.547152487023686,0.0003,60,6.547152487023686,45,7.072759341852156,484,9,0,0.3716464,0,0,,
,,,,,,,,10709,173,16.539323409999998,16.5,21.62,-6.071896463450477,0.0003,61,6.071896463450477,46,7.335200304465575,488,9,0,0.50612974,0,0,,
,,,,,,,,10766,174,15.966728880000003,16.0,21.05,-6.2962482746815045,0.0003,61,6.2962482746815045,46,7.464437408062303,492,9,0,0.259938,0,0,,
,,,,,,,,10869,173,16.269679139999997,16.3,21.28,-27.741294940089624,0.0003,62,27.741294940089624,47,25.78154309827035,496,9,0,0.37590837,0,0,,
,,,,,,,,10965,172,16.90787313,16.9,21.69,-10.79574162750266,0.0003,63,10.79574162750266,48,9.471841894987236,500,9,0,0.36374095,0,0,,
,,,,,,,,11025,171,16.76814796,16.8,21.45,-5.012670854637315,0.0003,64,5.012670854637315,48,6.727723878848345,504,9,0,0.41034508,0,0,,
,,,,,,,,11110,170,16.813770960000003,16.8,21.21,-9.541597702906378,0.0003,65,9.541597702906378,49,10.006682582747738,508,9,0,0.45572588,0,0,,
