eval_eplenmean,eval_ep_rewmean,eval_time_elapsed,eval_qs,eval_discount_q,eval_abs_qs_difference,total timesteps,eval_qs_difference,eval mean 100 episode reward,time_elapsed,qs_abs_difference,env_time,update_time,qs_difference,ep_rewmean,qs_mean,n_updates,current_lr,train_time,discount_q,fps,eplenmean,episodes,act_time,mean 100 episode reward,qfs_loss,q_grad_norm
,,,,,,8509,,,171,25.729798559951046,14,147,-25.729798559951046,55.69620255999999,0.7694001,0,0.0003,0,34.79140730633573,49,6.13,1408,1,55.7,,
,,,,,,8541,,,171,25.88283756588536,14,147,-25.88283756588536,56.538189550000006,0.75761664,0,0.0003,0,33.862162951134806,49,6.22,1412,1,56.5,,
,,,,,,8561,,,171,29.82759967542995,14,147,-29.82759967542995,56.157581570000005,0.8110213,0,0.0003,0,45.85877121401665,49,6.18,1416,1,56.2,,
,,,,,,8583,,,171,30.696268685734463,14,147,-30.696268685734463,56.520687689999995,0.17695893,0,0.0003,0,45.15988753885549,49,6.22,1420,1,56.5,,
,,,,,,8606,,,175,30.587156376410817,14,150,-30.587156376410817,55.95142468,0.19270313,0,0.0003,0,44.682462032298965,49,6.16,1424,1,56.0,,
,,,,,,8628,,,175,21.2897078190242,14,150,-21.2897078190242,55.66943808999999,0.6446558,0,0.0003,0,29.39641191904079,49,6.13,1428,1,55.7,,
,,,,,,8662,,,175,35.09953932190645,14,150,-35.09953932190645,56.23571671,0.2594291,0,0.0003,0,47.21634191472563,49,6.19,1432,1,56.2,,
,,,,,,8685,,,175,25.919543646027602,14,150,-25.919543646027602,55.86507528999999,0.7972181,0,0.0003,0,37.27339291501126,49,6.15,1436,1,55.9,,
,,,,,,8712,,,178,47.93580697518268,14,154,-47.93580697518268,56.51751865999999,0.6686034,0,0.0003,0,74.06381770692589,48,6.22,1440,1,56.5,,
,,,,,,8734,,,179,30.245065196076055,14,154,-30.245065196076055,56.238995779999996,0.7788737,0,0.0003,0,45.44336046798719,48,6.19,1444,1,56.2,,
,,,,,,8756,,,179,30.70390924130609,14,154,-30.70390924130609,56.43059897999999,0.6115484,0,0.0003,0,45.57633309225738,48,6.21,1448,1,56.4,,
,,,,,,8782,,,179,43.595708838389704,14,154,-43.595708838389704,57.08124151999999,0.7190523,0,0.0003,0,66.95493122037108,49,6.28,1452,1,57.1,,
,,,,,,8803,,,182,26.07322758750312,14,157,-26.07322758750312,56.895281999999995,0.25914448,0,0.0003,0,37.62238081549307,48,6.26,1456,1,56.9,,
,,,,,,8828,,,182,30.327660313213553,14,157,-30.327660313213553,56.53358680000001,0.79878855,0,0.0003,0,44.10655235819803,48,6.22,1460,1,56.5,,
,,,,,,8852,,,182,38.80357885414618,14,157,-38.80357885414618,57.09159984,0.8257544,0,0.0003,0,60.08426448632271,48,6.28,1464,1,57.1,,
,,,,,,8872,,,182,25.83231917711081,14,157,-25.83231917711081,57.18454662,0.7870664,0,0.0003,0,38.247428477041396,48,6.29,1468,1,57.2,,
,,,,,,8889,,,182,21.49257540145717,14,157,-21.49257540145717,56.63230723000001,0.7310244,0,0.0003,0,31.239341735171806,48,6.23,1472,1,56.6,,
,,,,,,8909,,,186,21.21064176039207,15,161,-21.21064176039207,56.265180810000004,0.67768955,0,0.0003,0,29.96691851767593,47,6.19,1476,1,56.3,,
,,,,,,8930,,,186,26.47214385301702,15,161,-26.47214385301702,56.172277709999996,0.14640847,0,0.0003,0,37.81971968890304,47,6.18,1480,1,56.2,,
,,,,,,8956,,,186,22.048200280209546,15,161,-22.048200280209546,55.615244979999986,0.11843024,0,0.0003,0,28.494888065530738,47,6.12,1484,1,55.6,,
,,,,,,8985,,,186,30.14056523384217,15,161,-30.14056523384217,55.6101113,0.64139444,0,0.0003,0,42.05618746774641,48,6.12,1488,1,55.6,,
,,,,,,9012,,,190,39.397812542660176,15,165,-39.397812542660176,55.14754207000001,0.28442025,0,0.0003,0,58.30335815836827,47,6.07,1492,1,55.1,,
,,,,,,9031,,,190,30.014731063095343,15,165,-30.014731063095343,54.6731675,0.83189994,0,0.0003,0,46.58759825039352,47,6.02,1496,1,54.7,,
,,,,,,9051,,,190,26.106974786345013,15,165,-26.106974786345013,53.83865357,0.16315499,0,0.0003,0,37.862929172131075,47,5.93,1500,1,53.8,,
,,,,,,9079,,,190,30.20848845861938,15,165,-30.20848845861938,54.3988587,0.7737357,0,0.0003,0,42.62309189501113,47,5.99,1504,1,54.4,,
,,,,,,9097,,,190,30.6263605322905,15,165,-30.6263605322905,53.37295975999999,0.21286552,0,0.0003,0,47.02790872059538,47,5.88,1508,1,53.4,,
,,,,,,9118,,,193,21.86532653956355,15,168,-21.86532653956355,52.33680917000001,0.114006065,0,0.0003,0,29.796328281631478,47,5.77,1512,1,52.3,,
,,,,,,9139,,,193,26.513584613476347,15,168,-26.513584613476347,52.43614097,0.16984268,0,0.0003,0,37.94766732631261,47,5.78,1516,1,52.4,,
,,,,,,9164,,,193,25.588437151677763,15,168,-25.588437151677763,52.71978187,0.76392996,0,0.0003,0,36.200212527987375,47,5.81,1520,1,52.7,,
,,,,,,9183,,,194,34.81370792829734,15,168,-34.81370792829734,52.36383177,0.33633447,0,0.0003,0,54.743895769667716,47,5.77,1524,1,52.4,,
,,,,,,9213,,,197,52.868616717093936,15,171,-52.868616717093936,53.11008898000001,0.39910367,0,0.0003,0,79.83981360688088,46,5.85,1528,1,53.1,,
,,,,,,9238,,,197,21.354248494894364,15,171,-21.354248494894364,52.264656300000006,0.7088587,0,0.0003,0,28.630571911545317,46,5.76,1532,1,52.3,,
,,,,,,9267,,,198,30.46939209195754,15,171,-30.46939209195754,52.82163890000001,0.30497387,0,0.0003,0,42.08368864678914,46,5.82,1536,1,52.8,,
,,,,,,9287,,,198,30.75481471118651,15,171,-30.75481471118651,52.16803936000002,0.21087164,0,0.0003,0,46.19472349071192,46,5.75,1540,1,52.2,,
,,,,,,9313,,,201,34.85280241203046,15,175,-34.85280241203046,52.53951141999999,0.312606,0,0.0003,0,50.96072493196929,46,5.79,1544,1,52.5,,
,,,,,,9339,,,202,44.060184873643415,15,175,-44.060184873643415,52.91271887,0.5710169,0,0.0003,0,67.25980265817284,46,5.83,1548,1,52.9,,
,,,,,,9359,,,202,43.91973939196342,15,175,-43.91973939196342,52.35741384,0.3654179,0,0.0003,0,71.02353522303645,46,5.77,1552,1,52.4,,
